MC,CI,DC,RPM,ED,ER,VI,velocity_x_theoretical
0.000000, 0.000000, -0.001000, -104.000000,0.454800, 0.001600, 11.800000, -0.020219
0.000000, 0.000000, -0.001000, -94.000000,0.454800, 0.001600, 11.700000, -0.018275
0.000000, 0.000000, -0.001000, -84.000000,0.454800, 0.001600, 11.700000, -0.016331
0.000000, 0.000000, -0.001000, -75.000000,0.454800, 0.001600, 11.700000, -0.014581
0.070000, 0.000000, -0.014000, -70.000000,0.454800, 0.001600, 11.700000, -0.013609
1.000000, 0.000000, -0.001000, -106.000000,0.454800, 0.001600, 11.700000, -0.020608
0.000000, 0.000000, 0.001000, -82.000000,0.454800, 0.001600, 11.700000, -0.015942
0.030000, 0.000000, 0.001000, -63.000000,0.454800, 0.001600, 11.800000, -0.012248
0.020000, 0.000000, 0.001000, -48.000000,0.454800, 0.001600, 11.700000, -0.009332
0.020000, 0.000000, 0.001000, -36.000000,0.454800, 0.001600, 11.700000, -0.006999
0.010000, 0.000000, 0.001000, -27.000000,0.454800, 0.001600, 11.800000, -0.005249
0.010000, 0.000000, 0.001000, -20.000000,0.454800, 0.001600, 11.800000, -0.003888
18.030000, 0.770000, 0.036000, 156.000000,0.454900, 0.001600, 11.800000, 0.030329
4.010000, 0.080000, 0.019000, 471.000000,0.454900, 0.001600, 11.700000, 0.091570
19.660000, 0.690000, 0.056000, 454.000000,0.454900, 0.001600, 11.700000, 0.088265
22.270000, 1.100000, 0.012000, 834.000000,0.455000, 0.001600, 11.800000, 0.162143
5.250000, 0.140000, 0.039000, 791.000000,0.455000, 0.001600, 11.800000, 0.153783
22.630000, 0.910000, 0.036000, 798.000000,0.455100, 0.001600, 11.700000, 0.155144
31.580000, 1.510000, 0.058000, 676.000000,0.455200, 0.001600, 11.700000, 0.131426
38.630000, 3.150000, 0.093000, 493.000000,0.455300, 0.001600, 11.700000, 0.095847
51.650000, 5.150000, 0.085000, 1051.000000,0.455700, 0.001600, 11.600000, 0.204332
28.300000, 1.660000, 0.107000, 956.000000,0.455800, 0.001600, 11.600000, 0.185862
27.290000, 1.630000, 0.079000, 1021.000000,0.455900, 0.001600, 11.700000, 0.198499
34.880000, 2.230000, 0.066000, 1051.000000,0.456100, 0.001600, 11.800000, 0.204332
34.120000, 2.230000, 0.088000, 1105.000000,0.456200, 0.001600, 11.600000, 0.214830
36.180000, 2.530000, 0.059000, 1168.000000,0.456400, 0.001600, 11.700000, 0.227078
26.990000, 1.700000, 0.041000, 1305.000000,0.456500, 0.001600, 11.700000, 0.253713
26.010000, 1.530000, 0.052000, 1420.000000,0.456600, 0.001600, 11.600000, 0.276071
22.490000, 1.240000, 0.072000, 1490.000000,0.456700, 0.001600, 11.800000, 0.289680
15.080000, 0.610000, 0.034000, 1512.000000,0.456700, 0.001600, 11.700000, 0.293958
4.830000, 0.170000, 0.054000, 1563.000000,0.456700, 0.001600, 11.700000, 0.303873
6.920000, 0.250000, 0.044000, 1678.000000,0.456800, 0.001600, 11.800000, 0.326231
9.230000, 0.370000, 0.038000, 1793.000000,0.456800, 0.001600, 11.700000, 0.348589
10.670000, 0.440000, 0.043000, 1873.000000,0.456800, 0.001600, 11.700000, 0.364142
10.700000, 0.440000, 0.052000, 1919.000000,0.456800, 0.001600, 11.700000, 0.373085
9.690000, 0.380000, 0.054000, 1966.000000,0.456900, 0.001600, 11.600000, 0.382223
9.710000, 0.380000, 0.050000, 2018.000000,0.456900, 0.001600, 11.800000, 0.392332
9.530000, 0.390000, 0.044000, 2077.000000,0.456900, 0.001600, 11.800000, 0.403803
9.350000, 0.380000, 0.046000, 2126.000000,0.456900, 0.001600, 11.700000, 0.413329
8.570000, 0.340000, 0.050000, 2163.000000,0.457000, 0.001600, 11.700000, 0.420523
8.110000, 0.310000, 0.053000, 2194.000000,0.457000, 0.001600, 11.700000, 0.426550
18.050000, 1.350000, 0.039000, 2301.000000,0.457100, 0.001600, 11.800000, 0.447352
15.490000, 0.870000, 0.036000, 2407.000000,0.457100, 0.001600, 11.700000, 0.467960
13.220000, 0.670000, 0.073000, 2369.000000,0.457200, 0.001600, 11.600000, 0.460573
7.850000, 0.320000, 0.061000, 2347.000000,0.457200, 0.001600, 11.600000, 0.456295
8.850000, 0.470000, 0.026000, 2489.000000,0.457200, 0.001600, 11.800000, 0.483902
15.120000, 0.970000, 0.042000, 2602.000000,0.457300, 0.001600, 11.800000, 0.505872
13.080000, 0.670000, 0.083000, 2509.000000,0.457300, 0.001600, 11.600000, 0.487791
5.460000, 0.240000, 0.042000, 2571.000000,0.457300, 0.001600, 11.700000, 0.499845
11.450000, 0.610000, 0.045000, 2697.000000,0.457400, 0.001600, 11.700000, 0.524341
8.330000, 0.380000, 0.071000, 2620.000000,0.457400, 0.001600, 11.700000, 0.509371
4.370000, 0.200000, 0.030000, 2723.000000,0.457400, 0.001600, 11.800000, 0.529396
8.000000, 0.370000, 0.049000, 2760.000000,0.457400, 0.001600, 11.800000, 0.536589
5.030000, 0.200000, 0.058000, 2729.000000,0.457500, 0.001600, 11.800000, 0.530562
4.820000, 0.200000, 0.043000, 2767.000000,0.457500, 0.001600, 11.800000, 0.537950
6.770000, 0.290000, 0.043000, 2793.000000,0.457500, 0.001600, 11.800000, 0.543005
6.980000, 0.300000, 0.055000, 2783.000000,0.457500, 0.001600, 11.700000, 0.541061
6.690000, 0.280000, 0.057000, 2768.000000,0.457500, 0.001600, 11.700000, 0.538145
6.430000, 0.270000, 0.050000, 2773.000000,0.457500, 0.001600, 11.800000, 0.539117
6.790000, 0.290000, 0.046000, 2789.000000,0.457600, 0.001600, 11.700000, 0.542227
11.140000, 0.660000, 0.066000, 2863.000000,0.457600, 0.001600, 11.700000, 0.556614
