roll,pitch,yaw,ax,ay,az,wx,wy,wz,x_q,y_q,z_q,w_q,roll_xi,pitch_yi,yaw_zi,velocity_y
3.798354, -2.558226, -30.747326, 0.047852,-0.070312, 1.038574, 0.366211, 0.427246, 0.183105, 0.026032, 0.030296,-0.264188,-0.963644,-0.066294,-0.044649,0.536642, 0.000000
3.821736, -2.507682, -30.750331, 0.045410,-0.069336, 1.040039, 0.305176, 0.549316, 0.122070, 0.026345, 0.029926,-0.264224,-0.963637,-0.066702,-0.043767,0.536695, 0.000000
3.765767, -2.472448, -30.750700, 0.045410,-0.070801, 1.038574, -0.183105, 0.183105, 0.183105, 0.025956, 0.029501,-0.264253,-0.963653,-0.065725,-0.043152,0.536701, 0.000000
3.714417, -2.516660, -30.750174, 0.047363,-0.063477, 1.032715, 0.427246, 0.305176, 0.000000, 0.025422, 0.029754,-0.264247,-0.963661,-0.064829,-0.043924,0.536692, 0.000000
3.706196, -2.454510, -30.752302, 0.042480,-0.065918, 1.034180, 0.671387, 0.427246, 0.122070, 0.025496, 0.029213,-0.264288,-0.963664,-0.064685,-0.042839,0.536729, 0.000000
3.829165, -2.449239, -30.760443, 0.044434,-0.069336, 1.035156, 0.610352, 0.488281, 0.183105, 0.026541, 0.029454,-0.264326,-0.963618,-0.066832,-0.042747,0.536871, 0.000000
3.744894, -2.433210, -30.759986, 0.043457,-0.068359, 1.040039, -0.244141, 0.183105, 0.244141, 0.025869, 0.029125,-0.264349,-0.963640,-0.065361,-0.042468,0.536863, 0.000000
3.738892, -2.421152, -30.763971, 0.044434,-0.068848, 1.039551, -0.122070, 0.183105, 0.122070, 0.025846, 0.029011,-0.264388,-0.963633,-0.065256,-0.042257,0.536933, 0.000000
3.679081, -2.426321, -30.764613, 0.042969,-0.064453, 1.034668, 0.244141, 0.122070, 0.183105, 0.025330, 0.028916,-0.264407,-0.963645,-0.064212,-0.042347,0.536944, 0.000000
3.776225, -2.470038, -30.771505, 0.046875,-0.067871, 1.035156, 0.549316, 0.488281, 0.183105, 0.026044, 0.029509,-0.264426,-0.963603,-0.065908,-0.043110,0.537064, 0.000000
3.858853, -2.554112, -30.779216, 0.044922,-0.070801, 1.036621, 0.671387, 0.488281, 0.244141, 0.026542, 0.030408,-0.264441,-0.963557,-0.067350,-0.044578,0.537199, 0.000000
